tittle,level
不堪一击,0
毫不足虑,5
不足挂齿,10
初学乍练,15
勉勉强强,20
平淡无奇,25
粗懂皮毛,30
半生不熟,35
一知半解,40
不求甚解,45
差强人意,50
稀松平常,55
普普通通,60
默默无闻,61
略知一二,62
初窥门径,63
初出茅庐,64
小有名气,65
得心应手,66
独树一帜,67
与众不同,68
驾轻就熟,69
声名远扬,70
非比寻常,71
鹤立鸡群,72
略有小成,73
已有小成,74
登堂入室,75
青出於蓝,76
融会贯通,77
心领神会,78
炉火纯青,79
了然於胸,80
略有大成,81
已有大成,82
豁然贯通,83
游刃有余,84
出类拔萃,85
个中翘楚,86
百里挑一,87
卓尔不群,88
纵横驰骋,88.5
人中龙凤,89
战无不胜,89.5
罕有敌手,90
技冠群雄,90.5
一代宗师,91
傲视群雄,91.5
独步天下,92
神功盖世,92.5
出神入化,93
无与伦比,93.5
神乎其技,94
所向披靡,94.5
精深奥妙,95
举世无双,95.3
惊世骇俗,95.7
撼天动地,96
震古铄今,96.3
空前绝后,96.7
超凡入圣,97
登峰造极,97.3
威镇寰宇,97.7
天人合一,98
深藏不露,98.3
深不可测,98.7
返璞归真,99
天神下凡,99.3
惊天泣鬼,100
